company_name,siret,vat_number,address_line_1,address_line_2,postal_code,city,country,naf_code
PRO BATIMENT,02403723600015,FR77024037236,13 RUE BANDRAJOU,M'TSAHARA,97630,MTSAMBORO,France,43.99C
INVEST CONSULTING MAYOTTE REUNION (ICMR),02403727700035,FR06024037277,28 CHEMIN DE LA CITERNE,BRAS DE PONTHO,97430,LE TAMPON,France,46.13Z
MAGASIN MASSOULAHA,02403735000014,FR31024037350,PL DU MARCHE COUVERT,BOXE K 14,97600,MAMOUDZOU,France,47.82Z
CYBER IDEALE,02403753300023,FR95024037533,9 RUE TENNIS,LABATTOIR,97615,DZAOUDZI,France,62.01Z
LA BARQ FRUITEE,02403796200024,FR24024037962,137 CHEMIN DES FOUGERES,PALMISTE ROUGE,97413,CILAOS,France,47.81Z
OCCAS'AUTO,02403801000021,FR71024038010,RUE DU BOURG BESNIER,,44810,LA CHEVALLERAIS,France,45.32Z
GAZONS MAYOTTE SERVICES VERTS,02403807700020,FR78024038077,RES LES PORTES DU LAGON 3 PORTE A06,LOT LES HAUTS VALLONS,97600,MAMOUDZOU,France,81.30Z
LIGDAMIS FILS,02403808500015,FR05024038085,92 BOULEVARD DENIS ROBIN,OUANGANI,97670,OUANGANI,France,81.30Z
TRANSPORT CHADHULI,02403826700027,FR66024038267,37 RUE DE LA CARRIERE COLAS,MTSAPERE,97600,MAMOUDZOU,France,49.39A
CAP MAY,02403853100026,FR82024038531,1 IMPASSE DES BANIANS,CHE MARTIN FLACOURT,97438,SAINTE-MARIE,France,41.10A
HAVANA CAFE,02403950500011,FR94024039505,RTE NATIONALE,ZI KAWENI,97600,MAMOUDZOU,France,56.10A
EDIFICOM,02403981000015,FR39024039810,115 RUE BANDARISSALAMA,HAMOURO,97660,BANDRELE,France,43.99C
MISTRA CONSTRUCTION,02404003200021,FR26024040032,18 RUE KAKAL CHEZ HAROUNA SAID,KAWENI,97600,MAMOUDZOU,France,33.20A
ALIZE CONSEIL REUNION,02404010700021,FR57024040107,1 CHEMIN DU TRIANGLE AUSTRAL,,97419,LA POSSESSION,France,41.20B
MAGASIN SAYDA BOUTIQUE,02404014900015,FR86024040149,24 RTE DE VAHIBE,PASSAMAINTY,97600,MAMOUDZOU,France,47.11B
DALI,02404052900026,FR62024040529,RUE DU COLLEGE,QUARTIER KAVANI,97625,KANI-KELI,France,47.19B
E.D.T.S. 2000,02404058600018,FR39024040586,QUA QUARTIER CAVANI,CHICONI,97670,CHICONI,France,43.21A
M.B.T.G,02404063600011,FR92024040636,QUA 100 VILLAS,POROANI,97620,CHIRONGUI,France,41.20B
OMAN-SHOP,02404076800012,FR03024040768,5 RUE DU STADE,,97615,PAMANDZI,France,47.71Z
JOUONGOUNI,02404083400020,FR07024040834,70 RTE NATIONALE KAWENI,KAWENI,97600,MAMOUDZOU,France,43.99C
C.E.M,02404098200027,FR63024040982,ZI KAWENI,KAWENI,97600,MAMOUDZOU,France,43.91A
CHAMASSI TRANSPORT,02404135200030,FR09024041352,20 IMPASSE BOINOIRIJOU,,97660,BANDRELE,France,49.39A
AGT DISTRIBUTION,02404142800012,FR43024041428,16 IMPASSE BABAN ADZOUDZOU,POROANI,97620,CHIRONGUI,France,47.11B
HILA CARRELAGE,02404152700011,FR49024041527,28 RUE M'ROWAHANDRA,MTSAPERE,97600,MAMOUDZOU,France,41.20A
TRANSPORT SALAMA,02404198000012,FR50024041980,89 RUE CENTRALE -KAWENI,,97600,MAMOUDZOU,France,49.41B
LE CHOIZIL,02404203800018,FR30024042038,QUA ANFASSIGNI,HAMJAGO,97630,MTSAMBORO,France,56.10A
E.M.P.H,02404223600018,FR42024042236,HANDREMA,,97650,BANDRABOUA,France,23.32Z
ENTREPRISE ALIMENTATION GENERALE,02404223600026,FR42024042236,16 LOT SIM,MIRERENI,97680,TSINGONI,France,47.11B
MARCHANDISE RAYISI,02404304400023,FR41024043044,16 RUE KALAKATSANI,,97625,KANI-KELI,France,47.11B
LAUDIS,02404345700027,FR19024043457,ROUTE DE LA SPPM,KAWENI,97600,MAMOUDZOU,France,45.20A
EUROLEC.COM,02404377000023,FR85024043770,12 RUE MARINDRINI,MAMOUDZOU,97600,MAMOUDZOU,France,43.21A
AYIROUZ DISTRIBUTION,02404385300035,FR43024043853,2 RUE SALIMA MDAHOMA,MRONABEJA,97625,KANI-KELI,France,47.11B
SONELOC,02404391100015,FR23024043911,34 RUE DES JARDINS,PAMANDZI,97615,PAMANDZI,France,43.22B
S.CHAR,02404397800030,FR30024043978,3 RUE BEAU REGARD,MZOUAZIA,97620,BOUENI,France,45.20A
SAINDOU SAINDOU IBRAHIM ET FILS,02404397800048,FR30024043978,CHIRONGUI,,97620,CHIRONGUI,France,01.22Z
TRANSIT DES ILES,02404461200026,FR89024044612,13 RUE WASTOI,KAWENI,97600,MAMOUDZOU,France,52.29B
BOULANGERIE BARAKA M'FILAOUNI,02404494300025,FR15024044943,COMBANI,,97680,TSINGONI,France,10.71C
MAGASIN DES ILES,02404569200035,FR31024045692,05 RUE MOSQUEE NGUIZI,MTSAPERE,97600,MAMOUDZOU,France,47.11B
BELAY ARC EN CIEL MAYOTTE EIRL,02404673200020,FR47024046732,9 RUE FAF BANDRAHARI,PAMANDZI,97615,PAMANDZI,France,43.34Z
TSARA BOUTIQUE,02404687200024,FR79024046872,24 RUE SOULAIMANA GAU,MRONABEJA,97625,KANI-KELI,France,47.11B
CAR CENTRE,02404706000058,FR61024047060,RTE NATIONALE MTSAPERE,DOUJANI 2 ROND POINT DE COLAS,97600,MAMOUDZOU,France,45.32Z
BABE FAMILY'S MULTI BUSINESS,02404741700019,FR65024047417,99 ESCALIER BICHIDA,HAMJAGO,97630,MTSAMBORO,France,56.10C
LE PETIT MOYA,02404781300019,FR89024047813,10 RUE DECASE,,97615,PAMANDZI,France,53.20Z
SAIFA,02404792000020,FR22024047920,5 LOT BONOVO,MTSAPERE,97600,MAMOUDZOU,France,45.32Z
HANUMAN INDUSTRIE,02404800100028,FR71024048001,58 IMPASSE MAMALE,VALLEE II LONGONI,97600,KOUNGOU,France,52.10B
ATIMAMIED,02404836500035,FR96024048365,58 RUE DE LA MAIRIE,,97615,PAMANDZI,France,52.29B
MAECHA CONSTRUCTION,02404876100035,FR23024048761,10 LOT COTE PLAGE,ILONI,97660,DEMBENI,France,43.39Z
DOUKA BE,02404912400027,FR45024049124,QUARTIER MARINDRINI GNAMBOTITI,PASSAMAINTI,97600,MAMOUDZOU,France,47.11B
DOUKA BE MANGROVE KAWENI,02404912400035,FR45024049124,RTE NATIONALE,KAWENI,97600,MAMOUDZOU,France,47.11C
DOUKA BE PLACE DU MARCHE,02404912400050,FR45024049124,PL DU MARCHE,,97600,MAMOUDZOU,France,47.11D
CARREFOUR MARKET PETITE-TERRE,02404912400068,FR45024049124,RTE DES BADAMIERS,LABATTOIR,97615,PAMANDZI,France,47.11D
DOUKA BE COMBANI,02404912400076,FR45024049124,COMBANI,,97680,TSINGONI,France,47.11C
DOUKA BE,02404912400084,FR45024049124,20 RUE PPF,CHEMBENYOUMBA,97650,M'TSANGAMOUJI,France,47.11C
DOUKA BE KANI KELI,02404912400092,FR45024049124,RTE DU DISPENSAIRE,,97625,KANI-KELI,France,47.11C
DOUKA BE BANDRELE,02404912400100,FR45024049124,QUARTIER KARDJAVINZA,,97660,BANDRELE,France,47.11C
DOUKA BE LABATTOIR,02404912400118,FR45024049124,29 RUE DU COMMERCE,LABATTOIR,97615,DZAOUDZI,France,47.11B
JUMBO SCORE,02404912400142,FR45024049124,RN1 HAMAHA,KAWENI,97600,MAMOUDZOU,France,47.11F
DOUKA BE ILONI,02404912400159,FR45024049124,RUELLE DU DISPENSAIRE,ILONI,97660,DEMBENI,France,47.11C
DOUKA BE CHIRONGUI,02404912400167,FR45024049124,RTE NATIONALE 3,,97620,CHIRONGUI,France,47.11B
DOUKA BE TSOUNDZOU 2,02404912400175,FR45024049124,ROUTE NATIONALE 2,TSOUNDZOU 2,97600,MAMOUDZOU,France,47.11C
DOUKA BE MTSAPERE,02404912400183,FR45024049124,17 RUE MOSQUEE ANJOUANAISE,MTSAPERE,97600,MAMOUDZOU,France,47.11B
DOUKA BE MZOUAZIA,02404912400191,FR45024049124,RUE DU DISPENSAIRE,MZOUAZI,97620,BOUENI,France,47.11C
DOUKA BE ACOUA,02404912400209,FR45024049124,RUE DU PLATEAU POLYVALENT,,97630,ACOUA,France,47.11C
DOUKA BE KOUNGOU,02404912400217,FR45024049124,15 RUE BUREAU CADI,,97600,KOUNGOU,France,47.11C
DOUKA BE TSINGONI,02404912400225,FR45024049124,RUE DE LA MAIRIE,,97680,TSINGONI,France,47.11C
DOUKA BE MTSANGAMBOU,02404912400233,FR45024049124,263 RUE DE L’AVENIR,MTSANGAMBOUA,97650,BANDRABOUA,France,47.11C
DOUKA BE BOUENI,02404912400241,FR45024049124,17 BOULEVARD DES TORTUES,,97620,BOUENI,France,47.11C
DOUKA BE LONGONI,02404912400258,FR45024049124,RTE NATIONALE 1,QUARTIER 1 MNADZI MOJA LONGONI,97600,KOUNGOU,France,47.11C
DOUKA BE DE TSARARANO,02404912400266,FR45024049124,RUE GENERAL DU CHARLES DE GAULLE,TSARARANO,97660,DEMBENI,France,47.11C
DOUKA BE,02404912400274,FR45024049124,2 RUE TERRAIN BASKET,DOUJANI 1,97600,MAMOUDZOU,France,47.11B
DOUKA BE,02404912400282,FR45024049124,QUARTIER JIVA AN53 NUM 5588,,97630,MTSAMBORO,France,47.11C
DOUKA BE,02404912400290,FR45024049124,QUARTIER HAMOITSIYONI,,97640,SADA,France,47.11B
DOUKA BE MANDZARSOUA,02404912400316,FR45024049124,3 RUE MANDZARSOUA,MTSAPERE,97600,MAMOUDZOU,France,47.11B
DOUKA BE BARAKANI,02404912400324,FR45024049124,3 RLE MCHELIBO BARAKANI,,97670,OUANGANI,France,47.11C
DOUKA BE VAHIBE,02404912400332,FR45024049124,5 RUE HARONOPHE A VAHIBE,,97600,MAMOUDZOU,France,47.11B
DOUKA BE PAMANDZI,02404912400340,FR45024049124,14 BOULEVARD MARCEL HENRY,,97615,PAMANDZI,France,47.11B
DOUKA BE HAUTS VALLONS,02404912400357,FR45024049124,28 RES LES PORTES DU LAGON,28-29-31 LOTISSEMENT LES HAUTS VALLONS,97600,MAMOUDZOU,France,47.11B
DOUKA BE CHICONI,02404912400365,FR45024049124,RUE DE LA MAIRIE,SUR LA PARCELLE AI 747,97670,CHICONI,France,47.11B
DOUKA BE CAVANI,02404912400373,FR45024049124,RUE DE LA BRIQUETTERIE,CAVANI,97600,MAMOUDZOU,France,47.11B
DOUKA BE POROANI,02404912400381,FR45024049124,QUARTIER MAGNASSINI,POROANI SUR LA PARCELLE AC 41,97620,CHIRONGUI,France,47.11B
DOUKA BE KAWENI,02404912400407,FR45024049124,ROUTE NATIONALE 1,KAWENI,97600,MAMOUDZOU,France,47.11C
DOUKA BE MTSAHARA,02404912400431,FR45024049124,1038 RTE NATIONALE,MTSAHARA,97630,MTSAMBORO,France,47.11C
DOUKA BE MTSANGAMOUJI,02404912400449,FR45024049124,2 RUE MCOLO MAINTY,,97650,M'TSANGAMOUJI,France,47.11C
DOUKA BE KAHANI,02404912400456,FR45024049124,AVENUE MKARAFOUNI,KAHANI PARCELLE AT 142,97670,OUANGANI,France,47.11C
FLEUR D'OR,02404946200021,FR89024049462,15 RUE DU DISPENSAIRE,LABATTOIR,97615,DZAOUDZI,France,32.12Z
MME AHMEDOMAR,02405025400028,FR40024050254,138 ROUTE DES BADAMIERS,LABATTOIR,97615,DZAOUDZI,France,47.71Z
SOPHA COIFFURE,02405037900023,FR27024050379,55 RLE MNADZI MOJA,,97600,MAMOUDZOU,France,96.02A
ENTREPRISE GENERALE,02405048600018,FR57024050486,2 VEN ISSA AMISSI,CHICONI,97670,CHICONI,France,41.20A
ANTOU BOUTIQUE,02405083300029,FR31024050833,RTE NATIONALE TAHITI PLAGE,MTSAGNOUGNI,97640,SADA,France,45.32Z
SOPREMA,02405111200019,FR92024051112,RTE NATIONALE,TSARARANO,97660,DEMBENI,France,43.22A
JO LE TAXI,02405115300021,FR21024051153,RUE ABDALLAH TOILIBOU,SADA,97640,SADA,France,47.78C
MLEZI,02405117900026,FR02024051179,7 MAJIKAVO KOROPA,MAJICAVO KOROPA,97600,KOUNGOU,France,47.11B
L'ENFANT NOIR,02405142700011,FR67024051427,111 ROUTE DE SOHOA,CHICONI,97670,CHICONI,France,49.32Z
E.E.C.F,02405193000030,FR24024051930,2 RUE TAHITI BAHONI,PAMANDZI,97615,PAMANDZI,France,43.21A
SOLDYS,02405205200016,FR02024052052,24 PL MARIAGE,,97600,MAMOUDZOU,France,47.51Z
SUD MENUISERIE ET BTP,02405244100011,FR05024052441,260 BOULEVARD MARCEL HENRY,MALAMANI,97620,CHIRONGUI,France,43.32A
SUD MENUISERIE ET BTP,02405244100029,FR05024052441,LD MALAMANI,QUARTIER ECOLE PRIMAIRE,97620,CHIRONGUI,France,01.47Z
A2M,02405249000018,FR55024052490,9 RUE HAMACHAKA,MAJICAVO KOROPA,97600,KOUNGOU,France,43.99C
MADI ALI RABIANTI,02405256500017,FR86024052565,3 IMPASSE MADI BEN ALI,,97620,BOUENI,France,47.11B
DECORAMA,02405265600048,FR68024052656,RUE DE LA GRANDE TRAVERSEE,KAWENI LOT 52 NUM 14,97600,MAMOUDZOU,France,47.19B
MAYECHA MEMA,02405267200011,FR19024052672,54 RUE CHEIK ABDOURAHAMAN,QUARTIER RASSI BOLE,97620,BOUENI,France,43.99C
SANDAWANA,02405315900034,FR25024053159,1 IMPASSE DES BANIANS,CHEMIN MARTIN FLACOURT,97438,SAINTE-MARIE,France,68.20B
SANDAWANA,02405315900042,FR25024053159,1 IMPASSE DES BANIANS,CHEMIN MARTIN FLACOURT,97438,SAINTE-MARIE,France,68.20B
TAYAR SERVICE,02405327400015,FR79024053274,RUE NOUVELLE MOSQUEE LOT TSARARANO,TSARARANO,97660,DEMBENI,France,43.39Z
MAYOTTE HYGIENE EXPRESS,02405355500041,FR49024053555,3 IMP SODIFRAM,KAWENI,97600,MAMOUDZOU,France,81.29A
DAILAMI ET FILS,02405358900016,FR54024053589,20 BOULEVARD MASTARA,MZOUAZIA,97620,BOUENI,France,49.32Z
MOIDA CHOP,02405365400018,FR55024053654,RTE DE L'ECOLE CAVANI GNAMBOTITI,,97660,BANDRELE,France,47.11B
ECOLE PRIMAIRE PRIVEE JADESSIANE,02405385200018,FR67024053852,RUE DES BADAMIERS TOTOROSA ABEGA,,97615,PAMANDZI,France,85.20Z
JADESSIANE,02405385200026,FR67024053852,LABATTOIR BOULEVARD DES AMOUREUX,A COTE DE LA MENUISERIE MARWA,97615,PAMANDZI,France,85.20Z
STOI,02405409000030,FR05024054090,16 AVENUE STANISLAS GIMART,,97490,SAINT-DENIS,France,61.90Z
L.E.C LAGON ETANCHEITE COUVERTURE,02405466000022,FR66024054660,MAJICAVO LAMIR,,97600,KOUNGOU,France,43.99A
VANNERIE MAHORAISE,02405476900047,FR05024054769,13 RUE DE LA CARRIERE,PAMANDZI,97615,PAMANDZI,France,16.29Z
JUSTE A COTE,02405478500027,FR53024054785,11 AV MCHINDRA SAID,,97600,MAMOUDZOU,France,47.11C
ENTREPRISE GOULAMHOUSSEN FIDAHOUSSEN,02405498300010,FR65024054983,6 LOT MANGAFOUTE,,97615,PAMANDZI,France,43.99C
MAGASIN ANTU,02405506300010,FR14024055063,8 RUE SACO,LABATTOIR,97615,DZAOUDZI,France,47.11B
AL MAANROUF,02405512100016,FR91024055121,17 RUE CHANDZA BOLE,,97600,MAMOUDZOU,France,49.41B
KALO,02405535200033,FR08024055352,ROUTE NATIONALE 1,KAWENI,97600,MAMOUDZOU,France,47.54Z
ALTITUDE,02405552700022,FR48024055527,HONGOJOU,,97660,DEMBENI,France,01.22Z
MBINGA BOIS,02405651700022,FR11024056517,TSINGONI,,97680,TSINGONI,France,43.32A
KASSIMEX,02405693900010,FR16024056939,2 RUE MGOMBANI,MAMOUDZOU,97600,MAMOUDZOU,France,46.90Z
BANGA PIECES AUTO,02405714300034,FR46024057143,4 RUE HACHENOI DERRIERE SODIFRAM,,97680,TSINGONI,France,45.32Z
CHAMSIDINE AHAMEDI OILI,02405714300042,FR46024057143,43 BOULEVARD DES AMOUREUX,LABATTOIR,97615,DZAOUDZI,France,45.32Z
DJAMBO MACONNERIE,02405742400038,FR16024057424,4 CHEMIN DU JACQUIER,DEMEBENI,97660,DEMBENI,France,43.99C
CONSEIL ET AUDIT MAYOTTE OCEAN INDIEN,02405757200034,FR72024057572,4 RUE DU COMMERCE,COMBANI,97680,TSINGONI,France,69.20Z
EUROPE SOL,02405759800013,FR53024057598,5 CHEMIN BAHEDJA TSONTSO,HAMJAGO,97630,MTSAMBORO,France,41.20A
INTERSPORT,02405765500037,FR30024057655,25 AVENUE MARTIN LUTHER KING,BAT. HATHIA - 1ER ETAGE ZI KAWENI,97600,MAMOUDZOU,France,47.64Z
PLOMBERIE ABDOURAHAMANE,02405768900010,FR35024057689,1066 RUE DU SOUVENIR,BANDRABOUA,97650,BANDRABOUA,France,43.22A
GARAGE BEMRANDRA,02405777000026,FR84024057770,9 RUE OUSSENI BARDY,TREVANI,97600,KOUNGOU,France,45.20A
BET I.A.C.,02405783800021,FR94024057838,45 RUE DE LA MAIRIE,,97660,DEMBENI,France,71.12B
PLOMBERIE SANITAIRE 2000,02405800000019,FR95024058000,94 DZOUMOGNE,,97650,BANDRABOUA,France,43.22A
TRANSMECA,02405811700037,FR58024058117,144 RUE CAVANI,VAHIBE,97600,MAMOUDZOU,France,38.31Z
ENTREPRISE MOUSSA MCOLO ABACHIA,02405814100011,FR33024058141,340 BOULEVARD ABDALLAH HOUMADI,MTSAMOUDOU,97660,BANDRELE,France,43.99C
KOTRI,02405831500029,FR70024058315,9 MAJICAVO LAMIR,,97600,KOUNGOU,France,43.32A
FAZM,02405832300023,FR94024058323,11 RUE INTERCOMMUNALE,PAMANDZI,97615,PAMANDZI,France,49.32Z
LA GOUNTOUNE,02405858800021,FR16024058588,14 RUE DU LYCEE,,97615,PAMANDZI,France,56.10C
P.A.S.M,02405861200011,FR88024058612,1200 AVENUE DU COLLEGE,CHICONI,97670,CHICONI,France,43.99C
MENUISERIE MZE FILS,02405867900010,FR95024058679,27 ROUTE DE COCONI,COMBANI,97680,TSINGONI,France,16.23Z
MOINECHA TRANSPORT,02405873700016,FR75024058737,13 RUE CHEHOULILAH,MAJICAVO KOROPA BANDRAJOU,97600,KOUNGOU,France,49.32Z
VRD SOULAIMANA FILS,02405890100026,FR82024058901,226 RUE DE L’HOTEL DE VILLE,BANDRABOUA,97650,BANDRABOUA,France,43.99C
LE CARONI SERVICE TAXI,02405891900010,FR39024058919,6 QUARTIER CAVANI LA ROSE,KANI KELI,97625,KANI-KELI,France,49.32Z
CARONI TRANSPORT,02405894300036,FR14024058943,105 RUE HENRY JEAN-BAPTISTE,TSIMKOURA,97620,CHIRONGUI,France,49.32Z
BANGA DALLAS,02405915600026,FR71024059156,24 RUE DU COMMERCE,,97600,MAMOUDZOU,France,47.82Z
MAHAVAVY,02405931300031,FR57024059313,43 CHEMIN ROLAND GARROS,MONT VERT LES BAS,97410,SAINT-PIERRE,France,47.21Z
LE SNACK DU CENTRE,02405964400013,FR80024059644,12 RUE DE L'HOTEL DE VILLE,LABATTOIR,97615,DZAOUDZI,France,56.10C
ENTREPRISE TSARA,02405995800017,FR52024059958,515 RTE NATIONALE 1,HAMJAGO,97630,MTSAMBORO,France,49.32Z
OUVOIMOJA PAPA,02406033700029,FR25024060337,RTE NATIONALE KOUTROUZAHARI,,97640,SADA,France,47.52A
ALI ABDALLAH FER,02406137600026,FR38024061376,1 RUE RIVIERE,QUARTIER MRONI TZOUNDZOU 2,97600,MAMOUDZOU,France,43.32B
C.B.G.M,02406144200026,FR42024061442,2 RLE M'KADARA,MTSAPERE,97600,MAMOUDZOU,France,43.99C
LUMIERE DE MAYOTTE,02406159000048,FR01024061590,7 RUE ZALIFA VOY,MRONABEJA,97625,KANI-KELI,France,41.20B
ZENA BOUTIQUE,02406194700040,FR05024061947,7 LOT 21 LES JARDINS CREOLES,,97600,MAMOUDZOU,France,47.78C
TRANSPORT AIDJO CHIRONGUI,02406196200015,FR50024061962,250 AVENUE SAID VITTA,CHIRONGUI,97620,CHIRONGUI,France,49.32Z
MAYOTTE HEBDO,02406197000018,FR74024061970,7 RUE SALAMANI CAVANI,,97600,MAMOUDZOU,France,58.13Z
ALLAOUI TRANSPORT,02406237400012,FR25024062374,15 RUE CAROBOINA,KOUNGOU,97600,KOUNGOU,France,49.32Z
JICO TRANSPORT,02406238200015,FR49024062382,92 RUE SAID FATIMA,CAMICASE,97640,SADA,France,49.32Z
JBC,02406277000045,FR49024062770,12 RUE RAYMOND MONDON,RES FLEURS APT 5,97419,LA POSSESSION,France,47.91B
PAPILLON D'OR,02406320800011,FR05024063208,3 CHEMIN DE L'EMBARCADERE,MOINATRINDRI QUA BANDARIJOU,97620,BOUENI,France,32.12Z
PAPILLON D'OR,02406320800037,FR05024063208,65 RUE DE LA POMPE,MAMOUDZOU,97600,MAMOUDZOU,France,47.29Z
MAGASIN FANTAISIA,02406359600027,FR05024063596,26 RUE DU COMMERCE,MAJICAVO KOROPA,97600,KOUNGOU,France,47.19B
LADA RESTAURANT,02406371100022,FR59024063711,84 ROUTE NATIONALE 1,KAWENI,97600,MAMOUDZOU,France,56.10C
BOULANGERIE MAMIE,02406371100048,FR59024063711,86 ROUTE NATIONALE,KAWENI,97600,MAMOUDZOU,France,10.71C
TSARADIA TAXI ET TRANSPORT,02406418000011,FR11024064180,40 CHEMIN ATELIER ADINANI,CHICONI,97670,CHICONI,France,49.32Z
LA PLANETE LA TELEVISION PAR SATELLITE,02406474300024,FR51024064743,60 CHE DEPARTEMENTALE N 5,MTSAGNOUGNI,97640,SADA,France,43.21A
TOY RESTAURANT,02406482600027,FR09024064826,17 RUE MZE MATTOIR,MBOUANATSA,97620,BOUENI,France,56.21Z
E.C.P.P.,02406496600013,FR41024064966,QUA MTSANGAMTITI,,97640,SADA,France,43.99C
EPICERIE NAFASSI,02406496600021,FR41024064966,RUE DE L’ARTISANAT,,97640,SADA,France,47.11B
ROYAL EUROS,02406500500019,FR61024065005,4 RUE DU CIMETIERE,POROANI LOT 03,97620,CHIRONGUI,France,47.11B
DOUKA PRO,02406528600023,FR31024065286,NUM 5 CENTRE AMATOULA,KAWENI,97600,MAMOUDZOU,France,46.19B
FOTOKABINE MAYOTTE,02406528600056,FR31024065286,21 CENTRE AMATOULA,KAWENI 1 ER ETAGE,97600,MAMOUDZOU,France,96.09Z
EURO PNEUMATIQUE,02406577300012,FR37024065773,1875 ROUTE NATIONALE 2,TSOUNDZOU 2,97600,MAMOUDZOU,France,45.20A
OUZOURI ET LOCATION,02406628400019,FR18024066284,13 LABATTOIR,,97615,DZAOUDZI,France,77.29Z
SNC MCBTP,02406684700013,FR58024066847,7 RUE SOWETO CAVANI,,97600,MAMOUDZOU,France,41.20B
DEM.O.I,02406735700012,FR36024067357,ZI KAWENI,,97600,MAMOUDZOU,France,52.29B
ENTREPRISE M.R.C,02406739900014,FR65024067399,8 CHEMIN FATIMA BAMZE,MLIMANI BAS,97640,SADA,France,43.99C
100.000 CHAUSSURES,02406747200019,FR90024067472,10 RUE DU COMMERCE,,97600,MAMOUDZOU,France,47.72A
100.000 CHAUSSURES,02406747200027,FR90024067472,CENTRE CCIAL LUKIDA,CENTRE COM. LUKIDA MAJICAVO LAMIR KOUN,97600,KOUNGOU,France,47.72A
COOL VOYAGES,02406785200012,FR66024067852,17 PL MARIAGE,,97600,MAMOUDZOU,France,79.11Z
LOULOU BEAUTE,02406830600018,FR70024068306,19 RUE DU COMMERCE,MAMOUDZOU,97600,MAMOUDZOU,France,47.71Z
O'LOLO,02406846200027,FR53024068462,PLAGE DE SAKOULI,,97660,BANDRELE,France,55.10Z
HODARI SERVICES,02406849600025,FR58024068496,RUE M'COBA,TSARARANO,97660,DEMBENI,France,43.99C
MADO PARFUMS,02406877700010,FR28024068777,MAJICAVO LAMIR,,97600,KOUNGOU,France,47.75Z
MADORA,02406877700036,FR28024068777,RUE DU STADE,CAVANI,97600,MAMOUDZOU,France,47.75Z
MADORA,02406877700044,FR28024068777,15 LABATTOIR,,97615,DZAOUDZI,France,47.75Z
E-VOYAGE COMORES AVIATION INTERNATIONAL,02406891800028,FR63024068918,130 BOULEVARD DIDEROT,,75012,PARIS,France,51.10Z
MAYOTTE PIECES AUTO,02406911400023,FR69024069114,10 ZONE I NEL,KAWENI,97600,MAMOUDZOU,France,45.32Z
B.P,02406911400031,FR69024069114,11 CITE ARTISANALE,,97412,BRAS-PANON,France,45.32Z
SHANNA,02406916300020,FR22024069163,7 RUE DARSALAMA,CAVANI,97600,MAMOUDZOU,France,47.71Z
MSP MAYOTTE SUPER PIECES,02406925400027,FR04024069254,QUARTIER MJIHARI,,97630,ACOUA,France,45.32Z
MANONGA LAZA,02406934600013,FR86024069346,RUE GNAMBOTITI,QUA NIAMBOTITI,97660,BANDRELE,France,47.11B
CENTRE ALIMENTAIRE YOUSSOUF FILS,02406977500013,FR15024069775,24 RUE DES REFUGIES,LABATTOIR,97615,DZAOUDZI,France,47.11B
DOUKA NAMOHAKO,02406985800025,FR70024069858,25 MAJIKAVO KOROPA,MAJICAVO KOROPA,97600,KOUNGOU,France,47.11B
ESPACE MEUBLE,02407016100021,FR09024070161,AVENUE DE L'ARCHIPEL ZI KAWENI,,97600,MAMOUDZOU,France,47.19B
ALIWALA,02407016100039,FR09024070161,26 RUE DU COMMERCE,,97600,MAMOUDZOU,France,47.78C
E.C.E ENTREPRISE CARREAUX ET ENTRETIEN,02407034400023,FR73024070344,3 RUE MANENO BANDARSALAMA,KOUNGOU,97600,KOUNGOU,France,43.33Z
A.CHAMSI,02407044300023,FR79024070443,23 RUE DE LA CARRIERE,DOUJANI MTSAPERE,97600,MAMOUDZOU,France,49.32Z
LE MASSALA,02407085600034,FR57024070856,70 ROUTE NATIONALE 2,KAWENI,97600,MAMOUDZOU,France,10.84Z
ENTREPRISE ASSANI ALI,02407098900025,FR68024070989,CIMETIERE MANDZARISOA,MTSAPERE BOC 11 BOITE 40,97600,MAMOUDZOU,France,43.99C
PLANET'CHAUSS,02407118500011,FR74024071185,CENTRE COMMERCIAL LUKIDA BOUT.28,,97600,MAMOUDZOU,France,47.72A
CADRES EN FOLIE,02407148200038,FR92024071482,14 RUE MAMAWE,MAMOUDZOU,97600,MAMOUDZOU,France,32.99Z
SFR,02407217500029,FR37024072175,ZI KAWENI,KAWENI,97600,MAMOUDZOU,France,47.78C
SFR,02407217500094,FR37024072175,ROUTE DE COCONI,COMBANI,97680,TSINGONI,France,47.42Z
SFR MAYOTTE,02407217500110,FR37024072175,175 RUE SAID VITTA,,97620,CHIRONGUI,France,47.42Z
SFR,02407217500128,FR37024072175,RTE COCONI - VILLAGE DE COMBANI,CENTRE COMMERCIAL YLANG YLANG - LOT 8,97680,TSINGONI,France,47.42Z
SALAMA TSARA,02407223300018,FR17024072233,39 RUE TSINGO NDRILE,CHOUNGUI,97625,KANI-KELI,France,47.11B
FITIYAVAGNA,02407250600017,FR60024072506,20 ROUTE AMPADZA,CHICONI,97670,CHICONI,France,49.41B
INVEST OI,02407286000034,FR55024072860,5 RUE MARIE CAZE,,97438,SAINTE-MARIE,France,68.20B
ENTREPRISE CASSAN THIERRY,02407296900025,FR91024072969,LOT FOURAHANI,TSARARNO,97660,DEMBENI,France,43.21B
QUNCAILLERIE BOURHANI,02407338900025,FR90024073389,BOULEVARD HALIDI SELEMANI,,97600,MAMOUDZOU,France,47.52A
